Student Survey,"","","","","","","","","","","","","","",Employee Survey,"","","","","","","","","","","","","","","","","","","","","","","","","","","",Guardian Surveys,"","","","","","","","","","","","","","","","","","","","","","","",""
02M418 - Millennium High School,,75.0,83.0,77.0,89.0,82.0,92.0,92.0,66.0,82.0,94.0,74.0,56.0,93.0,83.0,,99.0,,,90.0,86.0,90.0,,99.0,98.0,82.0,88.0,91.0,91.0,81.0,79.0,76.0,83.0,,95.0,93.0,90.0,94.0,,80.0,88.0,92.0,,,,,,,,,,,,,,,,,,95.0,89.0,96.0,92.0,81.0,98.0,96.0,90.0,
02M419 - Landmark High School,,59.0,74.0,63.0,89.0,79.0,88.0,88.0,67.0,70.0,80.0,67.0,55.0,74.0,81.0,,81.0,,,63.0,91.0,95.0,,98.0,98.0,78.0,87.0,100.0,93.0,87.0,81.0,83.0,73.0,,89.0,91.0,85.0,99.0,,88.0,91.0,96.0,,,,,,,,,,,,,,,,,,88.0,86.0,92.0,89.0,81.0,90.0,93.0,88.0,
02M420 - High School for Health Professions and Human Services,,65.0,82.0,71.0,91.0,80.0,91.0,90.0,67.0,69.0,84.0,60.0,57.0,86.0,84.0,,83.0,,,70.0,90.0,91.0,,94.0,96.0,74.0,84.0,92.0,79.0,76.0,75.0,69.0,67.0,,92.0,63.0,77.0,90.0,,62.0,83.0,89.0,,,,,,,,,,,,,,,,,,93.0,89.0,94.0,89.0,78.0,94.0,94.0,84.0,
02M422 - Quest to Learn,,60.0,69.0,66.0,85.0,77.0,89.0,88.0,67.0,61.0,81.0,65.0,57.0,72.0,80.0,,81.0,,,60.0,71.0,86.0,,98.0,93.0,66.0,80.0,93.0,74.0,61.0,73.0,77.0,70.0,,80.0,83.0,83.0,98.0,,77.0,75.0,81.0,,,,,,,,,,,,,,,,,,90.0,69.0,92.0,88.0,83.0,92.0,95.0,83.0,
02M425 - Leadership and Public Service High School,,59.0,83.0,65.0,88.0,80.0,91.0,91.0,68.0,77.0,92.0,62.0,64.0,82.0,83.0,,86.0,,,69.0,95.0,92.0,,100.0,99.0,83.0,84.0,98.0,89.0,74.0,86.0,95.0,67.0,,77.0,97.0,93.0,100.0,,75.0,80.0,87.0,,,,,,,,,,,,,,,,,,98.0,100.0,99.0,89.0,82.0,95.0,91.0,88.0,
02M427 - Manhattan Academy For Arts & Language,,68.0,80.0,70.0,89.0,80.0,90.0,91.0,73.0,68.0,84.0,64.0,63.0,67.0,84.0,,89.0,,,78.0,90.0,93.0,,100.0,98.0,87.0,95.0,100.0,98.0,45.0,97.0,91.0,72.0,,88.0,94.0,87.0,93.0,,76.0,96.0,95.0,,,,,,,,,,,,,,,,,,86.0,90.0,95.0,90.0,73.0,96.0,94.0,85.0,
02M432 - Murray Hill Academy,,66.0,75.0,76.0,88.0,82.0,90.0,89.0,71.0,57.0,83.0,70.0,58.0,75.0,84.0,,91.0,,,83.0,100.0,97.0,,100.0,100.0,92.0,92.0,100.0,98.0,75.0,93.0,96.0,89.0,,100.0,67.0,89.0,,,94.0,96.0,100.0,,,,,,,,,,,,,,,,,,94.0,,88.0,90.0,77.0,85.0,92.0,84.0,
02M437 - Hudson High School of Learning Technologies,,69.0,75.0,77.0,86.0,83.0,89.0,89.0,74.0,52.0,86.0,79.0,60.0,74.0,81.0,,90.0,,,41.0,77.0,87.0,,97.0,91.0,81.0,74.0,89.0,63.0,62.0,66.0,90.0,28.0,,67.0,85.0,83.0,,,65.0,74.0,97.0,,,,,,,,,,,,,,,,,,75.0,,77.0,79.0,83.0,78.0,80.0,79.0,
02M438 - International High School at Union Square,,71.0,89.0,80.0,92.0,86.0,93.0,92.0,83.0,78.0,92.0,81.0,75.0,86.0,90.0,,89.0,,,64.0,91.0,96.0,,100.0,98.0,93.0,92.0,95.0,99.0,84.0,90.0,81.0,72.0,,97.0,88.0,95.0,87.0,,92.0,96.0,93.0,,,,,,,,,,,,,,,,,,94.0,,95.0,92.0,80.0,95.0,95.0,86.0,
02M439 - Manhattan Village Academy,,69.0,80.0,78.0,92.0,82.0,90.0,93.0,76.0,72.0,91.0,73.0,61.0,88.0,89.0,,65.0,,,69.0,68.0,78.0,,90.0,92.0,66.0,61.0,86.0,68.0,58.0,51.0,59.0,65.0,,74.0,40.0,72.0,80.0,,55.0,64.0,67.0,,,,,,,,,,,,,,,,,,90.0,71.0,95.0,90.0,84.0,94.0,95.0,90.0,
"02M442 - Ballet Tech, NYC Public School for Dance",,71.0,66.0,79.0,87.0,80.0,88.0,86.0,69.0,90.0,91.0,54.0,61.0,96.0,70.0,,96.0,,,82.0,100.0,100.0,,100.0,100.0,98.0,97.0,100.0,91.0,100.0,96.0,96.0,95.0,,100.0,88.0,95.0,,,93.0,100.0,100.0,,,,,,,,,,,,,,,,,94.0,94.0,,97.0,95.0,94.0,100.0,98.0,89.0,
02M449 - Vanguard High School,,68.0,82.0,79.0,91.0,92.0,91.0,95.0,78.0,65.0,92.0,78.0,64.0,82.0,88.0,,85.0,,,51.0,100.0,93.0,,100.0,99.0,93.0,88.0,99.0,90.0,38.0,84.0,93.0,67.0,,93.0,81.0,87.0,96.0,,86.0,97.0,96.0,,,,,,,,,,,,,,,,,,98.0,93.0,99.0,96.0,89.0,99.0,99.0,95.0,
02M459 - Manhattan International High School,,72.0,84.0,85.0,90.0,88.0,90.0,92.0,79.0,78.0,91.0,77.0,70.0,86.0,89.0,,96.0,,,75.0,100.0,98.0,,100.0,99.0,98.0,94.0,97.0,96.0,80.0,92.0,97.0,87.0,,93.0,89.0,96.0,100.0,,91.0,95.0,93.0,,,,,,,,,,,,,,,,,,97.0,100.0,99.0,95.0,86.0,99.0,98.0,94.0,
02M475 - Stuyvesant High School,,76.0,87.0,82.0,89.0,87.0,91.0,91.0,69.0,85.0,91.0,75.0,56.0,94.0,85.0,,94.0,,,92.0,96.0,92.0,,95.0,98.0,83.0,88.0,92.0,83.0,88.0,85.0,76.0,85.0,,94.0,82.0,88.0,95.0,,72.0,84.0,96.0,,,,,,,,,,,,,,,,,,93.0,73.0,97.0,90.0,80.0,97.0,93.0,89.0,
02M489 - High School of Economics and Finance,,65.0,77.0,78.0,89.0,82.0,90.0,91.0,70.0,71.0,89.0,63.0,58.0,82.0,83.0,,84.0,,,70.0,87.0,87.0,,100.0,99.0,77.0,86.0,88.0,80.0,65.0,77.0,78.0,62.0,,84.0,83.0,85.0,93.0,,73.0,90.0,88.0,,,,,,,,,,,,,,,,,,96.0,82.0,98.0,94.0,81.0,97.0,96.0,95.0,
02M500 - Unity Center for Urban Technologies,,98.0,100.0,99.0,100.0,99.0,100.0,100.0,99.0,99.0,100.0,100.0,93.0,100.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,
02M507 - Urban Assembly Gateway School for Technology,,71.0,86.0,85.0,92.0,87.0,95.0,95.0,79.0,78.0,89.0,74.0,66.0,88.0,88.0,,92.0,,,79.0,95.0,96.0,,100.0,100.0,95.0,98.0,100.0,97.0,85.0,93.0,95.0,91.0,,91.0,93.0,95.0,95.0,,86.0,89.0,98.0,,,,,,,,,,,,,,,,,,97.0,95.0,99.0,98.0,93.0,99.0,98.0,92.0,
02M519 - Talent Unlimited High School,,65.0,77.0,73.0,92.0,85.0,92.0,92.0,68.0,72.0,92.0,60.0,60.0,87.0,85.0,,87.0,,,68.0,86.0,94.0,,98.0,99.0,94.0,96.0,96.0,80.0,76.0,83.0,76.0,72.0,,93.0,69.0,90.0,100.0,,71.0,97.0,95.0,,,,,,,,,,,,,,,,,,92.0,88.0,98.0,94.0,89.0,100.0,96.0,86.0,
02M520 - Murry Bergtraum High School for Business Careers,,56.0,67.0,68.0,77.0,70.0,77.0,75.0,65.0,54.0,83.0,71.0,60.0,70.0,69.0,,90.0,,,52.0,90.0,93.0,,100.0,98.0,86.0,85.0,100.0,83.0,70.0,90.0,90.0,76.0,,77.0,93.0,89.0,,,86.0,91.0,93.0,,,,,,,,,,,,,,,,,,82.0,,100.0,90.0,53.0,96.0,95.0,93.0,
02M529 - Jacqueline Kennedy Onassis High School,,77.0,85.0,79.0,91.0,89.0,93.0,94.0,79.0,81.0,92.0,79.0,73.0,89.0,87.0,,92.0,,,80.0,96.0,96.0,,95.0,98.0,90.0,97.0,97.0,93.0,89.0,95.0,94.0,76.0,,94.0,100.0,92.0,100.0,,88.0,99.0,97.0,,,,,,,,,,,,,,,,,,98.0,,99.0,95.0,91.0,98.0,97.0,96.0,
02M531 - Repertory Company High School for Theatre Arts,,67.0,75.0,68.0,95.0,82.0,91.0,96.0,77.0,75.0,88.0,69.0,62.0,86.0,86.0,,88.0,,,53.0,88.0,95.0,,100.0,99.0,93.0,88.0,100.0,96.0,65.0,92.0,84.0,67.0,,88.0,78.0,92.0,,,76.0,83.0,100.0,,,,,,,,,,,,,,,,,,88.0,100.0,95.0,94.0,88.0,93.0,95.0,87.0,
02M533 - Union Square Academy for Health Sciences,,66.0,81.0,75.0,90.0,85.0,93.0,93.0,75.0,66.0,86.0,76.0,64.0,83.0,86.0,,89.0,,,58.0,92.0,89.0,,95.0,94.0,84.0,77.0,93.0,81.0,54.0,74.0,79.0,61.0,,86.0,76.0,86.0,81.0,,68.0,75.0,89.0,,,,,,,,,,,,,,,,,,95.0,96.0,96.0,92.0,81.0,94.0,94.0,87.0,
02M534 - Harvest Collegiate High School,,65.0,79.0,72.0,91.0,84.0,92.0,93.0,70.0,62.0,84.0,65.0,60.0,73.0,83.0,,81.0,,,56.0,65.0,95.0,,90.0,88.0,78.0,90.0,91.0,83.0,45.0,65.0,81.0,79.0,,86.0,59.0,81.0,93.0,,88.0,79.0,88.0,,,,,,,,,,,,,,,,,,87.0,63.0,95.0,86.0,78.0,96.0,91.0,75.0,
02M542 - Manhattan Bridges High School,,73.0,89.0,82.0,90.0,87.0,93.0,89.0,76.0,78.0,89.0,71.0,63.0,89.0,89.0,,88.0,,,81.0,72.0,87.0,,94.0,96.0,74.0,82.0,89.0,81.0,96.0,84.0,81.0,67.0,,87.0,67.0,84.0,70.0,,60.0,72.0,69.0,,,,,,,,,,,,,,,,,,93.0,95.0,95.0,93.0,84.0,95.0,94.0,87.0,
02M543 - New Design High School,,66.0,83.0,75.0,91.0,88.0,93.0,91.0,76.0,75.0,87.0,74.0,63.0,84.0,89.0,,83.0,,,63.0,89.0,95.0,,99.0,98.0,79.0,84.0,93.0,92.0,77.0,75.0,79.0,68.0,,84.0,92.0,93.0,93.0,,83.0,85.0,90.0,,,,,,,,,,,,,,,,,,94.0,96.0,97.0,95.0,86.0,98.0,97.0,91.0,
02M544 - Independence High School,,65.0,83.0,77.0,82.0,81.0,94.0,85.0,74.0,72.0,86.0,76.0,68.0,76.0,83.0,,84.0,,,49.0,78.0,90.0,,88.0,97.0,67.0,78.0,84.0,87.0,37.0,66.0,79.0,56.0,,73.0,59.0,81.0,,,56.0,70.0,89.0,,,,,,,,,,,,,,,,,,93.0,,90.0,91.0,71.0,93.0,89.0,88.0,
02M545 - High School for Dual Language and Asian Studies,,69.0,84.0,79.0,82.0,86.0,90.0,89.0,71.0,86.0,87.0,63.0,54.0,90.0,85.0,,96.0,,,79.0,100.0,97.0,,97.0,99.0,83.0,89.0,97.0,90.0,82.0,88.0,78.0,73.0,,90.0,86.0,85.0,,,76.0,93.0,90.0,,,,,,,,,,,,,,,,,,92.0,,95.0,91.0,71.0,94.0,96.0,85.0,
02M546 - Academy for Software Engineering,,63.0,83.0,71.0,87.0,81.0,90.0,93.0,74.0,76.0,88.0,69.0,64.0,83.0,85.0,,74.0,,,36.0,95.0,86.0,,96.0,93.0,70.0,77.0,83.0,76.0,62.0,64.0,74.0,50.0,,85.0,82.0,72.0,96.0,,76.0,85.0,89.0,,,,,,,,,,,,,,,,,,94.0,93.0,97.0,94.0,85.0,93.0,97.0,89.0,
02M550 - Liberty High School Academy for Newcomers,,71.0,89.0,82.0,88.0,90.0,91.0,90.0,80.0,72.0,90.0,83.0,72.0,88.0,89.0,,94.0,,,80.0,85.0,90.0,,95.0,94.0,81.0,90.0,95.0,90.0,81.0,90.0,87.0,72.0,,88.0,79.0,89.0,90.0,,84.0,90.0,76.0,,,,,,,,,,,,,,,,,,93.0,,95.0,91.0,80.0,95.0,94.0,89.0,
02M551 - Urban Assembly New York Harbor School,,59.0,77.0,70.0,88.0,85.0,89.0,87.0,70.0,68.0,90.0,80.0,62.0,80.0,80.0,,75.0,,,52.0,68.0,86.0,,98.0,97.0,65.0,79.0,94.0,67.0,19.0,62.0,69.0,64.0,,80.0,89.0,70.0,89.0,,68.0,89.0,84.0,,,,,,,,,,,,,,,,,,86.0,87.0,96.0,91.0,85.0,96.0,90.0,90.0,
02M560 - High School M560 - City As School,,71.0,93.0,92.0,94.0,96.0,98.0,98.0,90.0,87.0,90.0,89.0,80.0,94.0,95.0,,81.0,,,58.0,100.0,99.0,,95.0,99.0,82.0,85.0,96.0,91.0,86.0,87.0,84.0,64.0,,95.0,78.0,85.0,100.0,,89.0,92.0,95.0,,,,,,,,,,,,,,,,,,96.0,,100.0,100.0,92.0,100.0,100.0,91.0,
02M565 - Urban Academy Laboratory High School,,77.0,86.0,79.0,95.0,90.0,99.0,98.0,82.0,80.0,98.0,78.0,71.0,94.0,89.0,,96.0,,,93.0,94.0,99.0,,99.0,100.0,98.0,99.0,99.0,100.0,100.0,100.0,100.0,99.0,,98.0,88.0,95.0,,,96.0,97.0,96.0,,,,,,,,,,,,,,,,,,94.0,82.0,96.0,94.0,90.0,95.0,91.0,95.0,
02M570 - Satellite Academy High School,,81.0,92.0,86.0,96.0,96.0,96.0,98.0,91.0,62.0,93.0,89.0,72.0,85.0,96.0,,91.0,,,48.0,82.0,94.0,,96.0,100.0,71.0,88.0,100.0,88.0,73.0,91.0,97.0,73.0,,85.0,94.0,91.0,,,78.0,82.0,85.0,,,,,,,,,,,,,,,,,,100.0,,100.0,100.0,95.0,100.0,100.0,100.0,
02M575 - Manhattan Comprehensive Night and Day High School,,73.0,90.0,83.0,89.0,86.0,92.0,90.0,79.0,83.0,92.0,88.0,77.0,89.0,90.0,,83.0,,,68.0,88.0,95.0,,97.0,95.0,73.0,81.0,84.0,79.0,87.0,77.0,84.0,63.0,,90.0,66.0,73.0,90.0,,59.0,82.0,89.0,,,,,,,,,,,,,,,,,,94.0,100.0,97.0,91.0,67.0,95.0,94.0,93.0,
02M580 - Richard R. Green High School of Teaching,,69.0,85.0,74.0,91.0,87.0,94.0,95.0,78.0,74.0,93.0,84.0,67.0,90.0,89.0,,88.0,,,83.0,91.0,99.0,,100.0,95.0,82.0,92.0,99.0,91.0,86.0,80.0,85.0,93.0,,97.0,94.0,85.0,97.0,,83.0,91.0,95.0,,,,,,,,,,,,,,,,,,86.0,76.0,96.0,90.0,83.0,96.0,94.0,92.0,
02M586 - Harvey Milk High School,,56.0,74.0,78.0,96.0,76.0,100.0,96.0,72.0,64.0,85.0,63.0,50.0,73.0,83.0,,94.0,,,67.0,100.0,98.0,,100.0,100.0,100.0,100.0,100.0,94.0,100.0,100.0,89.0,90.0,,100.0,100.0,100.0,,,97.0,100.0,100.0,,,,,,,,,,,,,,,,,,93.0,,100.0,100.0,92.0,100.0,100.0,100.0,
02M600 - The High School of Fashion Industries,,65.0,78.0,72.0,92.0,86.0,93.0,95.0,72.0,64.0,86.0,64.0,60.0,84.0,86.0,,86.0,,,72.0,89.0,94.0,,99.0,99.0,81.0,88.0,97.0,89.0,61.0,84.0,76.0,69.0,,89.0,73.0,87.0,93.0,,69.0,88.0,93.0,,,,,,,,,,,,,,,,,,94.0,91.0,96.0,92.0,83.0,97.0,94.0,89.0,
02M605 - Humanities Preparatory Academy,,66.0,89.0,79.0,91.0,81.0,97.0,97.0,72.0,91.0,89.0,60.0,65.0,90.0,85.0,,96.0,,,83.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,95.0,96.0,98.0,91.0,,100.0,96.0,99.0,,,97.0,100.0,98.0,,,,,,,,,,,,,,,,,,89.0,,96.0,87.0,69.0,92.0,90.0,87.0,
02M615 - Chelsea Career and Technical Education High School,,60.0,73.0,67.0,84.0,83.0,88.0,90.0,63.0,67.0,82.0,57.0,58.0,76.0,81.0,,85.0,,,58.0,87.0,90.0,,100.0,96.0,66.0,84.0,91.0,85.0,59.0,83.0,77.0,66.0,,86.0,76.0,73.0,90.0,,61.0,80.0,79.0,,,,,,,,,,,,,,,,,,90.0,76.0,93.0,96.0,88.0,93.0,90.0,74.0,
02M630 - Art and Design High School,,65.0,74.0,73.0,92.0,81.0,90.0,88.0,64.0,76.0,90.0,61.0,57.0,89.0,81.0,,87.0,,,74.0,85.0,93.0,,97.0,97.0,81.0,85.0,97.0,89.0,64.0,82.0,77.0,72.0,,88.0,76.0,82.0,94.0,,75.0,83.0,85.0,,,,,,,,,,,,,,,,,,92.0,89.0,96.0,93.0,89.0,96.0,95.0,87.0,
02M655 - The High School for Climate Justice,,62.0,75.0,73.0,89.0,82.0,93.0,88.0,73.0,70.0,86.0,66.0,65.0,78.0,88.0,,91.0,,,71.0,96.0,90.0,,100.0,97.0,88.0,96.0,93.0,91.0,67.0,88.0,98.0,72.0,,90.0,87.0,95.0,97.0,,81.0,95.0,95.0,,,,,,,,,,,,,,,,,,94.0,89.0,96.0,91.0,76.0,94.0,94.0,89.0,
02M896 - Lower Manhattan Community Middle School,,69.0,82.0,79.0,90.0,76.0,92.0,86.0,69.0,72.0,90.0,72.0,65.0,80.0,81.0,,92.0,,,74.0,90.0,92.0,,100.0,97.0,74.0,92.0,99.0,84.0,50.0,84.0,89.0,69.0,,98.0,96.0,86.0,89.0,,82.0,94.0,86.0,,,,,,,,,,,,,,,,,,96.0,95.0,100.0,98.0,94.0,100.0,99.0,93.0,
03M054 - J.H.S. 054 Booker T. Washington,,66.0,59.0,76.0,83.0,68.0,84.0,71.0,61.0,70.0,88.0,66.0,57.0,77.0,77.0,,94.0,,,81.0,94.0,95.0,,95.0,97.0,88.0,96.0,100.0,93.0,56.0,88.0,77.0,72.0,,100.0,92.0,89.0,95.0,,89.0,98.0,98.0,,,,,,,,,,,,,,,,,,95.0,75.0,95.0,91.0,93.0,96.0,94.0,86.0,
03M076 - P.S. 076 A. Philip Randolph,,70.0,76.0,78.0,85.0,82.0,91.0,81.0,77.0,64.0,87.0,65.0,64.0,71.0,84.0,,92.0,,,77.0,90.0,85.0,90.0,100.0,92.0,81.0,89.0,94.0,82.0,45.0,81.0,82.0,77.0,88.0,91.0,91.0,85.0,88.0,,54.0,86.0,96.0,,,,,,,,,,,,,,,93.0,97.0,88.0,90.0,89.0,91.0,92.0,92.0,94.0,93.0,88.0,94.0
03M149 - P.S. 149 Sojourner Truth,,75.0,77.0,77.0,90.0,93.0,90.0,95.0,77.0,58.0,87.0,65.0,63.0,78.0,84.0,,81.0,,,59.0,80.0,92.0,,89.0,99.0,82.0,86.0,98.0,92.0,70.0,82.0,82.0,62.0,85.0,82.0,57.0,80.0,85.0,,69.0,88.0,84.0,,,,,,,,,,,,,,,90.0,96.0,95.0,95.0,92.0,95.0,94.0,96.0,95.0,96.0,86.0,92.0
03M180 - P.S. 180 Hugo Newman,,65.0,66.0,76.0,86.0,86.0,89.0,92.0,74.0,64.0,83.0,74.0,63.0,63.0,85.0,,89.0,,,76.0,91.0,91.0,,94.0,97.0,79.0,91.0,98.0,88.0,87.0,84.0,88.0,78.0,100.0,96.0,86.0,86.0,89.0,,70.0,96.0,94.0,,,,,,,,,,,,,,,78.0,91.0,97.0,95.0,100.0,100.0,97.0,96.0,98.0,98.0,91.0,88.0
03M191 - The Riverside School for Makers and Artists,,48.0,45.0,50.0,76.0,71.0,77.0,79.0,51.0,36.0,74.0,44.0,53.0,34.0,70.0,,76.0,,,46.0,51.0,80.0,83.0,75.0,88.0,55.0,65.0,85.0,73.0,13.0,69.0,65.0,43.0,80.0,58.0,82.0,60.0,66.0,,50.0,64.0,70.0,,,,,,,,,,,,,,,67.0,85.0,53.0,55.0,29.0,58.0,70.0,79.0,44.0,68.0,91.0,100.0
03M243 - M.S. 243 Center School,,73.0,81.0,84.0,90.0,89.0,92.0,93.0,77.0,74.0,92.0,70.0,71.0,84.0,85.0,,91.0,,,99.0,100.0,92.0,,100.0,100.0,97.0,99.0,100.0,96.0,84.0,100.0,92.0,94.0,,100.0,88.0,97.0,98.0,,99.0,94.0,100.0,,,,,,,,,,,,,,,,,92.0,91.0,80.0,96.0,91.0,90.0,97.0,91.0,88.0,
03M245 - M.S. M245 The Computer School,,64.0,73.0,79.0,89.0,79.0,86.0,92.0,70.0,60.0,89.0,63.0,60.0,73.0,81.0,,92.0,,,98.0,100.0,98.0,,98.0,100.0,97.0,99.0,100.0,99.0,91.0,96.0,96.0,95.0,,100.0,81.0,96.0,100.0,,97.0,100.0,99.0,,,,,,,,,,,,,,,,,,90.0,68.0,97.0,91.0,92.0,97.0,93.0,88.0,
03M247 - M.S. M247 Dual Language Middle School,,69.0,77.0,84.0,91.0,86.0,93.0,93.0,79.0,63.0,92.0,74.0,62.0,79.0,85.0,,75.0,,,52.0,50.0,86.0,,96.0,90.0,52.0,77.0,92.0,73.0,30.0,63.0,65.0,56.0,,64.0,67.0,69.0,94.0,,66.0,83.0,59.0,,,,,,,,,,,,,,,,,,96.0,81.0,98.0,95.0,90.0,99.0,96.0,88.0,
03M256 - Lafayette Academy,,70.0,86.0,82.0,86.0,91.0,97.0,96.0,78.0,80.0,93.0,77.0,70.0,85.0,88.0,,89.0,,,89.0,96.0,96.0,,95.0,97.0,85.0,94.0,97.0,91.0,91.0,93.0,93.0,91.0,,94.0,94.0,93.0,100.0,,88.0,96.0,89.0,,,,,,,,,,,,,,,,,,91.0,88.0,95.0,93.0,91.0,97.0,94.0,82.0,
03M258 - Community Action School - MS 258,,78.0,89.0,82.0,94.0,89.0,94.0,93.0,83.0,68.0,89.0,81.0,69.0,81.0,90.0,,94.0,,,74.0,94.0,93.0,,100.0,94.0,99.0,87.0,99.0,90.0,56.0,88.0,82.0,71.0,,83.0,85.0,87.0,100.0,,81.0,85.0,85.0,,,,,,,,,,,,,,,,,,95.0,92.0,97.0,95.0,95.0,91.0,95.0,89.0,
03M291 - West End Secondary School,,68.0,77.0,75.0,90.0,72.0,85.0,94.0,72.0,64.0,88.0,66.0,60.0,74.0,81.0,,82.0,,,70.0,62.0,90.0,,100.0,96.0,85.0,89.0,95.0,89.0,46.0,76.0,77.0,79.0,,86.0,81.0,82.0,84.0,,69.0,93.0,82.0,,,,,,,,,,,,,,,,,,87.0,76.0,93.0,83.0,85.0,91.0,88.0,88.0,
"03M307 - Urban Assembly School for Media Studies, The",,68.0,77.0,78.0,90.0,86.0,92.0,91.0,76.0,66.0,92.0,75.0,65.0,83.0,87.0,,81.0,,,69.0,86.0,88.0,,91.0,93.0,80.0,86.0,89.0,82.0,61.0,75.0,83.0,64.0,,92.0,74.0,76.0,88.0,,78.0,91.0,94.0,,,,,,,,,,,,,,,,,,97.0,98.0,98.0,96.0,92.0,97.0,96.0,98.0,
03M333 - P.S. 333 Manhattan School for Children,,64.0,72.0,70.0,83.0,73.0,86.0,95.0,67.0,49.0,86.0,56.0,57.0,63.0,79.0,,79.0,,,63.0,56.0,91.0,,90.0,97.0,85.0,71.0,94.0,72.0,33.0,66.0,74.0,61.0,94.0,77.0,76.0,78.0,75.0,,50.0,63.0,92.0,,,,,,,,,,,,,,,,,82.0,85.0,84.0,90.0,89.0,94.0,91.0,92.0,82.0,
03M334 - The Anderson School,,65.0,68.0,85.0,85.0,73.0,87.0,85.0,70.0,79.0,92.0,52.0,65.0,88.0,79.0,,88.0,,,89.0,100.0,95.0,,97.0,100.0,82.0,96.0,98.0,94.0,63.0,87.0,86.0,84.0,96.0,100.0,61.0,85.0,94.0,,76.0,97.0,96.0,,,,,,,,,,,,,,,,,91.0,95.0,91.0,97.0,94.0,95.0,96.0,96.0,83.0,
03M402 - The Urban Assembly School for Green Careers,,63.0,77.0,69.0,86.0,83.0,89.0,89.0,70.0,68.0,88.0,72.0,59.0,78.0,84.0,,53.0,,,30.0,31.0,65.0,,89.0,79.0,73.0,32.0,79.0,32.0,48.0,23.0,30.0,37.0,,32.0,61.0,61.0,56.0,,24.0,29.0,86.0,,,,,,,,,,,,,,,,,,94.0,96.0,95.0,97.0,88.0,90.0,100.0,88.0,
03M403 - The Global Learning Collaborative,,59.0,76.0,67.0,88.0,81.0,90.0,90.0,64.0,71.0,87.0,70.0,57.0,77.0,82.0,,87.0,,,58.0,91.0,94.0,,100.0,95.0,83.0,92.0,96.0,88.0,74.0,92.0,88.0,60.0,,87.0,83.0,86.0,97.0,,76.0,93.0,88.0,,,,,,,,,,,,,,,,,,99.0,99.0,100.0,99.0,78.0,100.0,99.0,99.0,
03M404 - Innovation Diploma Plus,,68.0,85.0,77.0,90.0,87.0,88.0,91.0,81.0,79.0,83.0,81.0,62.0,89.0,90.0,,100.0,,,77.0,88.0,92.0,,100.0,97.0,100.0,100.0,100.0,96.0,63.0,100.0,100.0,74.0,,92.0,88.0,97.0,,,85.0,95.0,100.0,,,,,,,,,,,,,,,,,,87.0,100.0,96.0,96.0,80.0,91.0,98.0,89.0,
03M415 - Wadleigh Secondary School for the Performing & Visual Arts,,62.0,66.0,66.0,87.0,75.0,86.0,89.0,64.0,63.0,82.0,56.0,52.0,74.0,79.0,,81.0,,,56.0,78.0,91.0,,92.0,93.0,56.0,79.0,92.0,83.0,54.0,83.0,72.0,66.0,,80.0,84.0,75.0,100.0,,67.0,74.0,82.0,,,,,,,,,,,,,,,,,,94.0,100.0,99.0,91.0,91.0,90.0,95.0,87.0,
03M417 - Frank McCourt High School,,67.0,78.0,65.0,90.0,76.0,88.0,90.0,65.0,69.0,92.0,65.0,58.0,84.0,80.0,,86.0,,,52.0,77.0,96.0,,99.0,95.0,88.0,91.0,95.0,89.0,59.0,85.0,79.0,72.0,,95.0,70.0,85.0,95.0,,77.0,93.0,94.0,,,,,,,,,,,,,,,,,,82.0,76.0,84.0,81.0,79.0,82.0,85.0,81.0,
03M421 - West Prep Academy,,67.0,63.0,70.0,82.0,83.0,86.0,83.0,67.0,46.0,75.0,66.0,60.0,52.0,78.0,,89.0,,,49.0,74.0,95.0,,98.0,98.0,62.0,97.0,96.0,86.0,32.0,91.0,82.0,55.0,,87.0,63.0,69.0,96.0,,74.0,95.0,97.0,,,,,,,,,,,,,,,,,,94.0,92.0,95.0,93.0,86.0,95.0,93.0,87.0,
03M479 - Beacon High School,,72.0,85.0,81.0,93.0,77.0,87.0,91.0,70.0,79.0,89.0,72.0,60.0,89.0,87.0,,85.0,,,84.0,81.0,86.0,,91.0,92.0,62.0,86.0,81.0,79.0,74.0,62.0,83.0,77.0,,90.0,92.0,78.0,92.0,,85.0,98.0,73.0,,,,,,,,,,,,,,,,,,85.0,60.0,92.0,76.0,76.0,97.0,81.0,85.0,
03M485 - Fiorello H. LaGuardia High School of Music & Art and Performing Arts,,65.0,79.0,74.0,92.0,76.0,86.0,88.0,64.0,75.0,91.0,60.0,58.0,91.0,81.0,,78.0,,,76.0,74.0,87.0,,90.0,93.0,67.0,66.0,89.0,73.0,68.0,62.0,52.0,74.0,,82.0,82.0,69.0,81.0,,52.0,75.0,84.0,,,,,,,,,,,,,,,,,,83.0,67.0,94.0,85.0,88.0,96.0,91.0,84.0,
